商品id,一级品类,二级品类,商品标题,商品价格,省份,商品销量,店铺名称,店铺标签,先用后付,退货宝,风格,面料,版型,适用季节
\t436086254335,礼品鲜花,定制礼品,定制礼品2025新款,553.46,山东,1000+人付款,优品礼品店,金牌卖家,,,,,,
\t275123187160,美妆护肤,美发,美发官方正品,778.1,贵州,100+人付款,诚信美妆店,回头客3千,,,,,,
\t590868052879,图书音像,经管,经管2025新款,59.62,江苏,5万+人付款,优品图书店专卖店,极速发货,,,,,,
\t169624258614,礼品鲜花,定制礼品,定制礼品官方正品,1918.42,湖北,500+人付款,鄂时尚礼品店旗舰店,正品保障,,,,,,
\t958631569258,母婴用品,玩具,春季玩具修身热销,1240.69,湖北,1000+人付款,品质母婴店专卖店,正品保障,,,,,,冬季
\t161383238073,农资园艺,盆栽,盆栽官方正品,332.47,重庆,2000+人付款,优品农资店,回头客3千,,,,,,
\t730153909237,服饰鞋包,女装,女装宽松正品,897.23,云南,200+人付款,滇优品服饰店专卖店,回头客3千,,,休闲风,,,秋季
\t955102986379,农资园艺,肥料,肥料高品质,455.9,河南,1万+人付款,时尚农资店,正品保障,,,,,,
\t994549250070,玩具乐器,手办,手办官方正品,1418.88,四川,500+人付款,诚信玩具店旗舰店,5年老店,,,,,,
\t145255385819,医药健康,保健品,保健品高品质,756.25,浙江,200+人付款,浙品质医药店,5年老店,,,,,,
\t324140580995,美妆护肤,面部护理,面部护理高品质,324.7,澳门,2000+人付款,品质美妆店,回头客3千,,,,,,
\t582910713413,玩具乐器,模型,模型官方正品,591.47,浙江,100+人付款,浙时尚玩具店旗舰店,,,,,,,
\t166076576257,家居生活,家纺,家纺高品质家用,286.87,河南,100+人付款,优品家居店,8年老店,,,,,,
\t695584653946,数码家电,手机,手机2025新款户外,4845.85,上海,5万+人付款,沪时尚数码店专卖店,5年老店,,,,,,
\t625715139639,玩具乐器,模型,模型官方正品,1776.27,河南,5000+人付款,时尚玩具店,皇冠店铺,,,,,,
\t748975285732,玩具乐器,儿童玩具,儿童玩具高品质,1084.57,内蒙古,100+人付款,品质玩具店,极速发货,,,,,,
\t509384243650,宠物用品,服饰,秋季服饰修身正品,298.86,陕西,200+人付款,陕品质宠物店旗舰店,极速发货,,,通勤风,,,
\t666521347616,钟表珠宝,项链,项链官方正品,3596.64,贵州,5000+人付款,品质钟表店旗舰店,回头客5万,,,,,,
\t754949854910,服饰鞋包,男装,男装宽松正品,658.71,湖南,5000+人付款,优品服饰店,正品保障,,,,羊毛,,夏季
\t365314463124,母婴用品,奶粉,春季奶粉修身2025新款,757.54,新疆,10万+人付款,新时尚母婴店,金牌卖家,,,时尚风,莫代尔,,
\t219538077204,玩具乐器,儿童玩具,儿童玩具高品质,1931.53,甘肃,2000+人付款,诚信玩具店,回头客3千,,,,,,
\t349113157953,礼品鲜花,定制礼品,定制礼品2025新款,1460.08,福建,500+人付款,优品礼品店,金牌卖家,,,,,,
\t433650795962,宠物用品,食品,春季食品宽松2025新款,255.65,宁夏,200+人付款,优品宠物店旗舰店,回头客3千,,,休闲风,,,春季
\t719183930640,医药健康,药品,药品2025新款,872.42,浙江,1万+人付款,品质医药店专卖店,回头客1万,先用后付,,,,,
\t996092296886,数码家电,相机,相机官方正品户外,181.68,台湾,200+人付款,台优品数码店,金牌卖家,,退货宝,,,,
\t565105988835,礼品鲜花,鲜花,鲜花官方正品,1268.31,山东,200+人付款,品质礼品店,回头客3千,,,,,,
\t314238474608,食品生鲜,水果,水果官方正品,46.71,云南,1万+人付款,时尚食品店,极速发货,,,,,,
\t993103328613,医药健康,计生用品,计生用品官方正品,916.39,河北,200+人付款,冀时尚医药店专卖店,正品保障,,,,,,
\t334891648523,农资园艺,农具,农具官方正品,898.47,江苏,1000+人付款,诚信农资店,回头客5万,,,,,,
\t326586124586,美妆护肤,彩妆,彩妆2025新款,712.8,江苏,2000+人付款,优品美妆店,5年老店,,,,,,
\t150988574729,钟表珠宝,手链,手链高品质,2167.21,广东,2000+人付款,品质钟表店,回头客3千,,,,,,
\t597023506711,医药健康,保健品,保健品2025新款,1167.8,福建,5000+人付款,时尚医药店,皇冠店铺,,,,,,
\t285295853361,服饰鞋包,男装,男装修身正品,1271.48,新疆,2万+人付款,优品服饰店专卖店,8年老店,,,,,标准型,夏季
\t572150487595,家居生活,收纳,收纳高品质办公,1663.42,新疆,2000+人付款,时尚家居店,回头客10万,,,,,,
\t724519240105,玩具乐器,益智玩具,益智玩具2025新款,41.27,浙江,2000+人付款,品质玩具店旗舰店,皇冠店铺,,,,,,
\t210646271627,运动户外,户外装备,户外装备宽松热销,554.43,贵州,200+人付款,品质运动店,回头客5万,,,时尚风,,标准型,春季
\t712476149315,运动户外,户外装备,户外装备百搭热销,1180.86,安徽,1000+人付款,优品运动店,皇冠店铺,,,时尚风,,标准型,秋季
\t863649545705,钟表珠宝,手表,手表官方正品,3696.36,上海,500+人付款,时尚钟表店旗舰店,8年老店,,,,,,
\t506274306595,汽车用品,安全,安全官方正品,320.49,江西,2万+人付款,优品汽车店,极速发货,,,,,,
\t773961484454,礼品鲜花,永生花,永生花官方正品,1097.17,云南,2000+人付款,滇品质礼品店旗舰店,回头客10万,先用后付,退货宝,,,,
\t207159977676,宠物用品,玩具,春季玩具宽松正品,167.78,福建,5万+人付款,时尚宠物店专卖店,,先用后付,退货宝,,,,
\t976575935954,玩具乐器,儿童玩具,儿童玩具官方正品,959.02,天津,200+人付款,诚信玩具店专卖店,,,,,,,
\t549755327779,家居生活,厨具,厨具高品质户外,2519.72,上海,200+人付款,诚信家居店专卖店,金牌卖家,,,,,,
\t771238959608,医药健康,保健品,保健品高品质,806.04,广东,500+人付款,时尚医药店,正品保障,,,,,,
\t658345750131,宠物用品,服饰,春季服饰宽松热销,36.48,北京,1万+人付款,京品质宠物店,,,,时尚风,,,夏季
\t553956302064,宠物用品,服饰,冬季服饰百搭2025新款,259.07,广东,5000+人付款,粤品质宠物店,回头客3千,,,通勤风,,,
\t170435417594,医药健康,医疗器械,医疗器械2025新款,189.46,黑龙江,5000+人付款,优品医药店,正品保障,,,,,,
\t306212424816,家居生活,家纺,家纺2025新款家用,2454.98,陕西,200+人付款,时尚家居店,金牌卖家,,,,,,
\t826084268479,玩具乐器,益智玩具,益智玩具官方正品,1450.29,四川,5000+人付款,川优品玩具店专卖店,回头客3千,,,,,,
\t592605970665,运动户外,健身器材,健身器材宽松热销,1215.83,陕西,2000+人付款,时尚运动店,,先用后付,,,,,春季
\t356856051794,医药健康,保健品,保健品2025新款,1027.57,上海,1000+人付款,沪优品医药店专卖店,金牌卖家,,,,,,
\t353150192069,图书音像,小说,小说官方正品,276.06,吉林,5000+人付款,诚信图书店,正品保障,,,,,,
\t610384102127,服饰鞋包,女装,秋季女装百搭正品,543.28,重庆,500+人付款,渝优品服饰店,回头客1万,,退货宝,,纯棉,修身型,
\t887282488327,农资园艺,农具,农具高品质,557.35,河北,1万+人付款,诚信农资店专卖店,正品保障,先用后付,,,,,
\t108087709035,宠物用品,服饰,服饰修身2025新款,295.16,福建,1万+人付款,诚信宠物店,极速发货,先用后付,,,,,
\t928152465917,礼品鲜花,礼盒,礼盒高品质,1947.88,四川,500+人付款,川品质礼品店旗舰店,回头客3千,,,,,,
\t229539028361,礼品鲜花,永生花,永生花官方正品,467.47,吉林,2000+人付款,品质礼品店专卖店,回头客1万,,,,,,
\t576022382434,数码家电,电脑,电脑官方正品户外,1175.88,青海,100+人付款,诚信数码店专卖店,极速发货,,,,,,
\t686784032314,母婴用品,奶粉,奶粉百搭2025新款,769.71,北京,200+人付款,时尚母婴店,正品保障,,,,莫代尔,,夏季
\t690322293442,农资园艺,花卉,花卉官方正品,233.15,广东,1000+人付款,粤优品农资店,回头客3千,,,,,,
\t899083884470,图书音像,教材,教材官方正品,107.54,广东,100+人付款,诚信图书店专卖店,金牌卖家,,,,,,
\t828314244990,图书音像,小说,小说2025新款,282.36,河南,2000+人付款,品质图书店,正品保障,,,,,,
\t822642936057,宠物用品,用品,夏季用品宽松正品,47.68,上海,500+人付款,时尚宠物店,5年老店,,,,,,
\t119712163375,美妆护肤,面部护理,面部护理2025新款,648.05,上海,5000+人付款,优品美妆店,回头客1万,,退货宝,,,,
\t797532674158,医药健康,药品,药品高品质,540.43,江苏,1000+人付款,优品医药店旗舰店,回头客1万,,,,,,
\t529164390424,食品生鲜,肉类,肉类高品质,91.82,重庆,500+人付款,优品食品店,回头客5万,,,,,,
\t748617599758,数码家电,电脑,电脑官方正品户外,1537.41,广东,200+人付款,品质数码店旗舰店,回头客10万,,,,,,
\t266850910672,食品生鲜,水果,水果官方正品,318.4,新疆,1000+人付款,品质食品店旗舰店,,,,,,,
\t225772772943,玩具乐器,益智玩具,益智玩具官方正品,1370.84,上海,500+人付款,时尚玩具店旗舰店,5年老店,,,,,,
\t910978890871,医药健康,保健品,保健品高品质,1211.46,天津,500+人付款,时尚医药店专卖店,,,,,,,
\t689387508060,数码家电,手机,手机官方正品办公,4750.54,山西,2000+人付款,晋诚信数码店专卖店,8年老店,,,,,,
\t265233732878,礼品鲜花,礼品,礼品高品质,112.96,宁夏,2000+人付款,时尚礼品店,正品保障,,,,,,
\t251229186681,美妆护肤,美发,美发官方正品,614.81,浙江,10万+人付款,时尚美妆店,,,退货宝,,,,
\t402959417377,礼品鲜花,礼品,礼品官方正品,1682.19,辽宁,5000+人付款,优品礼品店专卖店,8年老店,先用后付,,,,,
\t551029148144,医药健康,计生用品,计生用品高品质,580.86,浙江,500+人付款,浙诚信医药店专卖店,正品保障,先用后付,退货宝,,,,
\t514906617464,食品生鲜,水果,水果高品质,321.81,浙江,1000+人付款,品质食品店,,,,,,,
\t419788475463,家居生活,装饰,装饰2025新款办公,2237.96,云南,10万+人付款,诚信家居店,金牌卖家,先用后付,,,,,
\t749011085008,美妆护肤,面部护理,面部护理2025新款,573.52,江苏,2000+人付款,优品美妆店旗舰店,5年老店,,,,,,
\t441783359060,图书音像,少儿,少儿高品质,292.99,吉林,500+人付款,优品图书店,回头客1万,,,,,,
\t251638032923,母婴用品,奶粉,冬季奶粉百搭正品,733.58,山东,5000+人付款,品质母婴店,回头客1万,,退货宝,,羊毛,,春季
\t451274194378,宠物用品,食品,春季食品宽松2025新款,61.88,安徽,1000+人付款,诚信宠物店专卖店,回头客10万,,,,,,夏季
\t315015219751,礼品鲜花,永生花,永生花2025新款,228.1,内蒙古,1万+人付款,品质礼品店,,,退货宝,,,,
\t623976619040,图书音像,教材,教材高品质,175.56,广东,50万+人付款,优品图书店,,,退货宝,,,,
\t662625932566,运动户外,运动服,运动服修身正品,299.04,吉林,5万+人付款,诚信运动店,回头客5万,,,,,,春季
\t696179377986,宠物用品,玩具,玩具修身2025新款,116.94,陕西,2000+人付款,时尚宠物店,回头客3千,,,,,,
\t929277901995,宠物用品,护理,护理修身正品,176.4,台湾,1万+人付款,时尚宠物店,,,,休闲风,,,冬季
\t716502368406,运动户外,运动鞋,冬季运动鞋百搭热销,851,重庆,200+人付款,诚信运动店专卖店,8年老店,先用后付,退货宝,,,修身型,夏季
\t238449329903,玩具乐器,模型,模型官方正品,1635.15,河北,1000+人付款,时尚玩具店,回头客5万,,,,,,
\t350763499693,母婴用品,玩具,秋季玩具百搭2025新款,985.89,江苏,500+人付款,优品母婴店,回头客5万,,,休闲风,聚酯纤维,,
\t149416045862,家居生活,厨具,厨具2025新款家用,1657.13,重庆,2万+人付款,品质家居店专卖店,回头客3千,,退货宝,,,,
\t869175668683,农资园艺,盆栽,盆栽2025新款,284.09,湖南,1万+人付款,湘时尚农资店旗舰店,回头客3千,,退货宝,,,,
\t294735698444,礼品鲜花,礼品,礼品2025新款,518.06,贵州,500+人付款,优品礼品店专卖店,金牌卖家,,,,,,
\t626131896701,礼品鲜花,定制礼品,定制礼品高品质,118.75,浙江,1000+人付款,时尚礼品店,回头客1万,,,,,,
\t103442499560,图书音像,教材,教材官方正品,108.55,山东,1万+人付款,品质图书店旗舰店,回头客1万,,,,,,
\t418198968654,玩具乐器,手办,手办2025新款,1909.78,山西,1000+人付款,诚信玩具店,正品保障,,,,,,
\t140112746571,玩具乐器,乐器,乐器2025新款,1900.66,北京,100+人付款,时尚玩具店,金牌卖家,,,,,,
\t183950661594,医药健康,药品,药品官方正品,1262.55,江西,2000+人付款,优品医药店,回头客5万,,,,,,
\t371397219805,礼品鲜花,礼盒,礼盒高品质,1440.46,山东,100+人付款,优品礼品店专卖店,,,退货宝,,,,
\t226404783123,服饰鞋包,女装,夏季女装修身2025新款,1088.8,黑龙江,2000+人付款,时尚服饰店,5年老店,,,休闲风,纯棉,宽松型,
\t818465234839,农资园艺,肥料,肥料高品质,771.77,辽宁,1000+人付款,品质农资店,金牌卖家,,退货宝,,,,
\t270695755517,汽车用品,保养,保养官方正品,340.92,山东,1000+人付款,优品汽车店专卖店,8年老店,,,,,,
\t166623676032,家居生活,厨具,厨具2025新款家用,66.18,浙江,100+人付款,时尚家居店专卖店,回头客1万,,,,,,
\t675533851731,食品生鲜,粮油,粮油高品质,51.85,安徽,5万+人付款,优品食品店,回头客10万,,,,,,
\t538688851308,食品生鲜,零食,零食官方正品,201.91,重庆,500+人付款,渝优品食品店,回头客5万,,,,,,
\t911519285971,钟表珠宝,耳环,耳环2025新款,2293.89,湖北,2万+人付款,时尚钟表店,回头客5万,,退货宝,,,,
\t132891119711,农资园艺,盆栽,盆栽官方正品,453.37,广西,200+人付款,时尚农资店专卖店,回头客5万,,,,,,
\t425467173340,家居生活,厨具,厨具2025新款家用,1900.02,湖北,100+人付款,时尚家居店专卖店,回头客5万,,,,,,
\t969496551932,母婴用品,玩具,玩具百搭2025新款,92.93,河南,2万+人付款,豫优品母婴店,回头客1万,,,休闲风,聚酯纤维,,夏季
\t412422963839,玩具乐器,儿童玩具,儿童玩具官方正品,1561.98,山东,10万+人付款,鲁诚信玩具店,回头客10万,,,,,,
\t845189157225,宠物用品,食品,夏季食品修身热销,361.24,北京,500+人付款,京品质宠物店,回头客10万,,,,,,春季
\t709994485730,礼品鲜花,定制礼品,定制礼品高品质,1537.27,山东,2000+人付款,时尚礼品店专卖店,,,,,,,
\t928370196319,食品生鲜,肉类,肉类2025新款,344.49,重庆,5000+人付款,品质食品店专卖店,,,,,,,
\t540620667682,食品生鲜,海鲜,海鲜高品质,34.88,湖南,5000+人付款,时尚食品店专卖店,皇冠店铺,,,,,,
\t301446326027,钟表珠宝,项链,项链高品质,144.99,广西,2万+人付款,优品钟表店旗舰店,皇冠店铺,,,,,,
\t305806806405,运动户外,健身器材,冬季健身器材百搭热销,203.77,北京,200+人付款,优品运动店旗舰店,正品保障,,,时尚风,,,春季
\t809283260777,服饰鞋包,童装,夏季童装宽松2025新款,851.28,上海,500+人付款,沪诚信服饰店专卖店,皇冠店铺,,,通勤风,,修身型,春季
\t320216746796,美妆护肤,美发,美发高品质,58.16,甘肃,5000+人付款,品质美妆店旗舰店,回头客10万,,,,,,
\t603520302426,礼品鲜花,定制礼品,定制礼品2025新款,1366.88,广东,500+人付款,优品礼品店,金牌卖家,先用后付,,,,,
\t433398471731,食品生鲜,海鲜,海鲜官方正品,66.34,陕西,500+人付款,陕诚信食品店专卖店,8年老店,,,,,,
\t645130806912,母婴用品,奶粉,春季奶粉百搭热销,1244.42,四川,2000+人付款,川优品母婴店专卖店,皇冠店铺,,,时尚风,纯棉,,冬季
\t130853342505,玩具乐器,儿童玩具,儿童玩具官方正品,1994.29,浙江,10万+人付款,浙品质玩具店旗舰店,极速发货,,退货宝,,,,
\t756867078631,宠物用品,玩具,玩具宽松2025新款,339.2,四川,200+人付款,品质宠物店,回头客10万,,,休闲风,,,冬季
\t441656241815,食品生鲜,零食,零食官方正品,164.79,江苏,5000+人付款,诚信食品店,,,,,,,
\t223833657020,服饰鞋包,女装,秋季女装宽松正品,421.89,新疆,2000+人付款,时尚服饰店专卖店,,,,,羊毛,修身型,春季
\t959926052953,母婴用品,奶粉,秋季奶粉修身热销,612.48,上海,5000+人付款,诚信母婴店旗舰店,回头客1万,,,,聚酯纤维,,秋季
\t182615924321,医药健康,计生用品,计生用品2025新款,179.98,江苏,50万+人付款,苏优品医药店旗舰店,,,退货宝,,,,
\t483859383053,美妆护肤,面部护理,面部护理2025新款,221.13,北京,20万+人付款,时尚美妆店,极速发货,,,,,,
\t577681852222,服饰鞋包,配饰,夏季配饰百搭热销,1000.49,上海,10万+人付款,优品服饰店,皇冠店铺,,,时尚风,聚酯纤维,,
\t402408028339,礼品鲜花,定制礼品,定制礼品官方正品,1580.04,山东,500+人付款,鲁时尚礼品店旗舰店,回头客5万,,,,,,
\t630287115929,医药健康,保健品,保健品2025新款,1208.88,山东,1万+人付款,鲁品质医药店专卖店,,,,,,,
\t993448571905,玩具乐器,乐器,乐器高品质,1180.18,四川,500+人付款,品质玩具店旗舰店,回头客10万,,,,,,
\t375185483930,钟表珠宝,戒指,戒指2025新款,3101.23,云南,2000+人付款,滇时尚钟表店专卖店,回头客3千,,退货宝,,,,
\t529321141597,运动户外,运动服,秋季运动服宽松2025新款,874.53,河南,500+人付款,豫诚信运动店旗舰店,回头客5万,先用后付,,,,标准型,秋季
\t655994672224,图书音像,教材,教材官方正品,151.36,湖北,500+人付款,鄂时尚图书店,皇冠店铺,,,,,,
\t613469150057,农资园艺,肥料,肥料2025新款,104.71,四川,1000+人付款,优品农资店,5年老店,,,,,,
\t217559342184,运动户外,户外装备,户外装备百搭热销,289.85,江苏,200+人付款,诚信运动店,,,,,,标准型,春秋季
\t442899732994,农资园艺,盆栽,盆栽2025新款,804.01,河北,2000+人付款,优品农资店专卖店,皇冠店铺,先用后付,退货宝,,,,
\t451485789058,宠物用品,食品,冬季食品宽松热销,358.77,香港,100+人付款,诚信宠物店,金牌卖家,,,通勤风,,,
\t174642765451,宠物用品,护理,护理修身正品,254.75,浙江,100万+人付款,浙诚信宠物店旗舰店,,,,,,,秋季
\t394453066127,家居生活,家具,家具2025新款办公,2764.03,甘肃,5万+人付款,诚信家居店,回头客3千,,,,,,
\t761538166809,图书音像,社科,社科高品质,213.96,福建,200+人付款,闽品质图书店,回头客10万,,,,,,
\t887522544427,运动户外,运动鞋,冬季运动鞋宽松2025新款,1179.81,广东,1000+人付款,诚信运动店专卖店,5年老店,,,,,修身型,春季
\t421041037811,运动户外,运动鞋,秋季运动鞋百搭热销,557.92,河南,2000+人付款,豫诚信运动店旗舰店,回头客5万,先用后付,,休闲风,,修身型,
\t533198041628,母婴用品,玩具,冬季玩具修身2025新款,100.56,河北,2000+人付款,冀优品母婴店,回头客1万,,,,莫代尔,,
\t970051595542,家居生活,家具,家具官方正品户外,1449.39,广东,1000+人付款,时尚家居店专卖店,金牌卖家,,退货宝,,,,
\t985675558048,汽车用品,清洁,清洁2025新款,488.18,天津,2000+人付款,诚信汽车店旗舰店,回头客1万,,,,,,
\t620498347502,图书音像,教材,教材高品质,38.83,江苏,2000+人付款,苏优品图书店旗舰店,回头客10万,,,,,,
\t142665458833,汽车用品,装饰,装饰2025新款,488.9,湖南,1000+人付款,时尚汽车店专卖店,8年老店,,退货宝,,,,
\t768908913033,图书音像,小说,小说高品质,70.82,北京,5000+人付款,时尚图书店专卖店,回头客5万,,,,,,
\t666177014983,玩具乐器,模型,模型高品质,1266.16,湖南,1000+人付款,品质玩具店旗舰店,回头客5万,,,,,,
\t529105956693,医药健康,药品,药品2025新款,406.02,江苏,500+人付款,苏品质医药店旗舰店,回头客1万,先用后付,,,,,
\t356701951819,运动户外,户外装备,冬季户外装备宽松热销,507.94,河南,100+人付款,优品运动店旗舰店,皇冠店铺,,退货宝,,,宽松型,秋季
\t307531087798,玩具乐器,益智玩具,益智玩具2025新款,250.12,河南,2000+人付款,时尚玩具店,皇冠店铺,,,,,,
\t890685959650,家居生活,家纺,家纺2025新款家用,2317.9,湖北,2000+人付款,时尚家居店专卖店,5年老店,,,,,,
\t888615850040,礼品鲜花,礼盒,礼盒2025新款,614.34,云南,2万+人付款,滇时尚礼品店,正品保障,先用后付,,,,,
\t507322084675,农资园艺,农具,农具高品质,539.87,上海,200+人付款,时尚农资店旗舰店,,,,,,,
\t943703827612,服饰鞋包,箱包,箱包宽松正品,169.1,四川,500+人付款,川优品服饰店专卖店,正品保障,,,休闲风,,标准型,
\t861350114174,数码家电,耳机,耳机2025新款家用,3588.29,安徽,200+人付款,优品数码店专卖店,金牌卖家,,,,,,
\t367497880832,宠物用品,玩具,夏季玩具百搭热销,246.49,四川,200+人付款,诚信宠物店专卖店,皇冠店铺,,,,,,秋季
\t101392837792,服饰鞋包,鞋靴,春季鞋靴宽松2025新款,767.71,四川,100+人付款,诚信服饰店,回头客1万,,,时尚风,丝光棉,修身型,冬季
\t364968619423,运动户外,健身器材,秋季健身器材宽松热销,658.86,四川,2000+人付款,川时尚运动店旗舰店,8年老店,,,通勤风,,,
\t984514294385,礼品鲜花,礼盒,礼盒2025新款,329.82,河北,2000+人付款,诚信礼品店旗舰店,金牌卖家,,,,,,
\t983097183924,农资园艺,种子,种子2025新款,786.41,安徽,200+人付款,诚信农资店旗舰店,,,,,,,
\t335959175430,运动户外,运动鞋,夏季运动鞋宽松热销,101.11,江西,500+人付款,优品运动店专卖店,金牌卖家,,,时尚风,,标准型,冬季
\t171669828165,图书音像,教材,教材高品质,167.4,广西,10万+人付款,优品图书店,正品保障,,,,,,
\t917932523225,汽车用品,电子,电子高品质,58.13,河南,2000+人付款,优品汽车店旗舰店,极速发货,,,,,,
\t698788067448,母婴用品,纸尿裤,冬季纸尿裤百搭正品,901.48,四川,100+人付款,时尚母婴店,回头客3千,,退货宝,通勤风,纯棉,,春秋季
\t721524384412,运动户外,健身器材,秋季健身器材修身2025新款,1128.16,海南,2000+人付款,诚信运动店专卖店,5年老店,,,休闲风,,宽松型,夏季
\t334649359087,数码家电,家电,家电官方正品办公,3868.29,安徽,10万+人付款,品质数码店旗舰店,回头客10万,,,,,,
\t307976350254,图书音像,经管,经管官方正品,86.79,辽宁,2000+人付款,优品图书店,皇冠店铺,,,,,,
\t282864167555,食品生鲜,海鲜,海鲜2025新款,382.49,山东,1万+人付款,鲁诚信食品店,金牌卖家,,退货宝,,,,
\t136756859240,宠物用品,护理,春季护理修身热销,152.69,上海,5000+人付款,时尚宠物店专卖店,极速发货,,,,,,冬季
\t968904042800,美妆护肤,面部护理,面部护理官方正品,592.61,安徽,200+人付款,皖时尚美妆店,8年老店,,,,,,
\t910860365471,数码家电,耳机,耳机高品质办公,5730.58,湖南,500+人付款,湘优品数码店,正品保障,,,,,,
\t705568451536,礼品鲜花,礼盒,礼盒官方正品,274.98,上海,200+人付款,时尚礼品店旗舰店,8年老店,,退货宝,,,,
\t132434388655,医药健康,药品,药品官方正品,217.26,云南,2000+人付款,品质医药店,回头客3千,,,,,,
\t780788722052,图书音像,社科,社科2025新款,206.01,北京,2000+人付款,时尚图书店专卖店,回头客1万,先用后付,退货宝,,,,
\t577170691713,数码家电,家电,家电官方正品户外,4018.05,河北,1000+人付款,冀优品数码店专卖店,回头客3千,,退货宝,,,,
\t953466229627,玩具乐器,模型,模型官方正品,1330.5,湖北,1000+人付款,优品玩具店,回头客5万,,,,,,
\t312538170688,食品生鲜,海鲜,海鲜高品质,181.07,江西,2000+人付款,品质食品店旗舰店,8年老店,先用后付,,,,,
\t479543880388,母婴用品,奶粉,冬季奶粉百搭2025新款,954.32,广东,2000+人付款,品质母婴店,回头客3千,,,时尚风,丝光棉,,夏季
\t901791623105,汽车用品,清洁,清洁官方正品,1274.67,河北,1000+人付款,优品汽车店,回头客3千,,,,,,
\t536822623619,食品生鲜,零食,零食官方正品,136.82,陕西,200+人付款,陕诚信食品店专卖店,皇冠店铺,先用后付,,,,,
\t157856170948,母婴用品,奶粉,春季奶粉宽松正品,318.23,河北,1000+人付款,诚信母婴店,,,,,莫代尔,,春季
\t440580183593,图书音像,少儿,少儿2025新款,110.13,云南,2000+人付款,品质图书店,回头客1万,,,,,,
\t651790910447,家居生活,家具,家具高品质户外,2392.2,陕西,5000+人付款,陕优品家居店旗舰店,正品保障,,,,,,
\t876049126196,数码家电,相机,相机高品质办公,3411.03,湖南,2万+人付款,时尚数码店旗舰店,,,,,,,
\t370166563921,数码家电,相机,相机高品质办公,653.4,北京,500+人付款,优品数码店专卖店,正品保障,,,,,,
\t887735268761,食品生鲜,粮油,粮油高品质,27.42,湖南,2000+人付款,优品食品店,回头客5万,,,,,,
\t294102286303,农资园艺,农具,农具高品质,694.16,河南,5万+人付款,优品农资店,回头客3千,先用后付,,,,,
\t547781508540,家居生活,家纺,家纺2025新款家用,2051.09,陕西,1万+人付款,时尚家居店,极速发货,,,,,,
\t856363089592,宠物用品,食品,冬季食品百搭正品,185.98,山东,2000+人付款,鲁优品宠物店旗舰店,极速发货,,退货宝,,,,
\t292134234674,礼品鲜花,鲜花,鲜花高品质,818.82,浙江,200+人付款,浙时尚礼品店,金牌卖家,,,,,,
\t292152822222,钟表珠宝,项链,项链官方正品,2024.54,天津,1万+人付款,诚信钟表店旗舰店,极速发货,,,,,,
\t336129243667,服饰鞋包,箱包,夏季箱包百搭正品,283.52,山西,100万+人付款,优品服饰店旗舰店,5年老店,,,休闲风,纯棉,宽松型,夏季
\t548758464552,食品生鲜,零食,零食官方正品,168.93,广东,5000+人付款,粤品质食品店旗舰店,,,,,,,
\t820892806140,母婴用品,辅食,春季辅食宽松热销,98.85,福建,2000+人付款,品质母婴店专卖店,5年老店,,,时尚风,纯棉,,冬季
\t665033760878,运动户外,健身器材,秋季健身器材修身2025新款,806.9,福建,500+人付款,闽品质运动店,金牌卖家,先用后付,,休闲风,,,
\t779776036032,服饰鞋包,童装,冬季童装修身正品,655.64,四川,2000+人付款,时尚服饰店旗舰店,回头客1万,,,,,宽松型,
\t911971084202,礼品鲜花,永生花,永生花官方正品,931.57,河北,200+人付款,冀时尚礼品店专卖店,正品保障,,,,,,
\t589001547069,汽车用品,安全,安全官方正品,832.71,陕西,500+人付款,优品汽车店旗舰店,8年老店,,,,,,
\t120078953262,图书音像,少儿,少儿官方正品,279.24,陕西,200+人付款,诚信图书店专卖店,金牌卖家,,,,,,
\t912946164260,钟表珠宝,戒指,戒指官方正品,1406.59,湖南,2000+人付款,诚信钟表店,极速发货,,,,,,
\t700960377440,钟表珠宝,戒指,戒指高品质,1776.09,山西,1万+人付款,晋时尚钟表店,回头客3千,,,,,,
\t683077681637,农资园艺,种子,种子高品质,170.12,河南,5万+人付款,诚信农资店旗舰店,回头客5万,,,,,,
\t600779032182,母婴用品,童装,秋季童装百搭正品,844.61,江苏,2万+人付款,诚信母婴店旗舰店,5年老店,,退货宝,休闲风,,,
\t446040672522,图书音像,小说,小说高品质,154.77,山东,2000+人付款,优品图书店旗舰店,金牌卖家,,,,,,
\t878658535628,医药健康,药品,药品官方正品,1448.02,广东,10万+人付款,粤品质医药店,回头客10万,,,,,,
\t963270890263,钟表珠宝,手表,手表官方正品,452.24,河北,500+人付款,冀品质钟表店,极速发货,先用后付,,,,,
\t956428951513,食品生鲜,肉类,肉类官方正品,72.32,天津,5000+人付款,诚信食品店旗舰店,正品保障,,,,,,
\t807111542886,服饰鞋包,箱包,冬季箱包修身正品,667.52,云南,1000+人付款,滇品质服饰店旗舰店,回头客10万,,退货宝,,纯棉,修身型,秋季
\t515991650590,玩具乐器,模型,模型高品质,210.73,湖北,2000+人付款,时尚玩具店,回头客3千,,,,,,
\t258558502809,钟表珠宝,手链,手链2025新款,421.78,海南,10万+人付款,琼时尚钟表店,,,,,,,
\t979869450767,运动户外,运动鞋,春季运动鞋修身2025新款,1162.25,山西,1万+人付款,诚信运动店,回头客10万,,,休闲风,,修身型,春季
