商品id,一级品类,二级品类,商品标题,商品价格,省份,商品销量,店铺名称,店铺标签,先用后付,退货宝,风格,面料,版型,适用季节,销量下限
181433720156,钟表珠宝,项链,项链2025新款,497.62,贵州,2万+人付款,优品钟表店,金牌卖家,未提供,退货宝,,,,,20000
489683415605,农资园艺,种子,种子高品质,772.09,云南,10万+人付款,优品农资店,金牌卖家,未提供,未提供,,,,,100000
789137252329,医药健康,计生用品,计生用品官方正品,1017.87,广东,1000+人付款,诚信医药店,极速发货,未提供,未提供,,,,,1000
848520928011,家居生活,收纳,收纳高品质办公,2699.6,江苏,1万+人付款,时尚家居店,,未提供,未提供,,,,,10000
972878900882,汽车用品,电子,电子官方正品,516.63,浙江,100+人付款,浙时尚汽车店,回头客5万,先用后付,未提供,,,,,100
715539881046,农资园艺,盆栽,盆栽高品质,38.22,北京,1万+人付款,时尚农资店专卖店,皇冠店铺,未提供,未提供,,,,,10000
223743152449,汽车用品,安全,安全2025新款,491.72,四川,1000+人付款,优品汽车店,回头客1万,未提供,未提供,,,,,1000
936366663926,家居生活,厨具,厨具2025新款家用,76.6,贵州,5000+人付款,品质家居店,回头客10万,未提供,未提供,,,,,5000
970169852999,汽车用品,保养,保养2025新款,1270.78,江苏,1万+人付款,苏品质汽车店旗舰店,回头客1万,未提供,未提供,,,,,10000
154977805174,医药健康,保健品,保健品2025新款,144.62,安徽,200+人付款,诚信医药店专卖店,5年老店,未提供,未提供,,,,,200
213275863938,汽车用品,安全,安全高品质,407.73,广东,1万+人付款,时尚汽车店,,未提供,未提供,,,,,10000
740019119185,运动户外,健身器材,秋季健身器材修身热销,189.87,台湾,2000+人付款,台品质运动店专卖店,回头客5万,未提供,未提供,通勤风,,修身型,夏季,2000
737671808028,医药健康,药品,药品官方正品,1144.49,台湾,500+人付款,时尚医药店旗舰店,金牌卖家,未提供,退货宝,,,,,500
782266053728,礼品鲜花,礼品,礼品官方正品,512.32,河南,1000+人付款,优品礼品店,皇冠店铺,先用后付,未提供,,,,,1000
551725401667,运动户外,户外装备,秋季户外装备宽松正品,1419.68,浙江,5000+人付款,浙时尚运动店,回头客3千,未提供,未提供,休闲风,,,春季,5000
953066777172,服饰鞋包,箱包,春季箱包宽松正品,573.62,广东,2万+人付款,诚信服饰店专卖店,5年老店,未提供,未提供,,聚酯纤维,宽松型,秋季,20000
470226381279,玩具乐器,儿童玩具,儿童玩具官方正品,2335.03,山东,2000+人付款,优品玩具店,,未提供,未提供,,,,,2000
912695588084,食品生鲜,水果,水果高品质,465.81,广东,500+人付款,粤时尚食品店,皇冠店铺,未提供,未提供,,,,,500
192602012824,运动户外,健身器材,冬季健身器材修身正品,1355.2,四川,100+人付款,品质运动店旗舰店,回头客5万,未提供,未提供,,,修身型,春秋季,100
554572653390,玩具乐器,模型,模型官方正品,1463.6,河南,20万+人付款,豫品质玩具店,,未提供,未提供,,,,,200000
386834479682,农资园艺,农具,农具高品质,240.46,江苏,2000+人付款,品质农资店专卖店,回头客3千,未提供,未提供,,,,,2000
446570949805,医药健康,计生用品,计生用品2025新款,1506.88,浙江,200+人付款,时尚医药店专卖店,极速发货,未提供,未提供,,,,,200
765554267194,宠物用品,用品,用品宽松2025新款,201.6,安徽,1万+人付款,时尚宠物店专卖店,回头客5万,先用后付,未提供,,,,,10000
510811510845,钟表珠宝,耳环,耳环高品质,2384.44,浙江,5万+人付款,诚信钟表店,回头客1万,未提供,未提供,,,,,50000
388304917014,宠物用品,服饰,冬季服饰修身热销,34.97,台湾,1000+人付款,品质宠物店专卖店,极速发货,未提供,未提供,休闲风,,,,1000
301686205137,美妆护肤,彩妆,彩妆高品质,646.97,北京,2万+人付款,京诚信美妆店旗舰店,正品保障,未提供,未提供,,,,,20000
974843967288,运动户外,健身器材,春季健身器材百搭热销,1443.51,江苏,500+人付款,苏品质运动店专卖店,回头客10万,未提供,未提供,通勤风,,宽松型,春秋季,500
339299124120,运动户外,健身器材,秋季健身器材修身正品,1568.29,福建,2000+人付款,品质运动店,回头客3千,未提供,未提供,通勤风,,宽松型,冬季,2000
572150885968,玩具乐器,乐器,乐器高品质,1773.9,天津,2000+人付款,津优品玩具店,5年老店,未提供,未提供,,,,,2000
391414286818,数码家电,家电,家电官方正品户外,2956.85,西藏,200+人付款,诚信数码店,皇冠店铺,未提供,未提供,,,,,200
222492348414,数码家电,家电,家电官方正品家用,5223.52,浙江,20万+人付款,时尚数码店专卖店,回头客3千,未提供,退货宝,,,,,200000
560469504988,礼品鲜花,定制礼品,定制礼品2025新款,1453.55,广东,2000+人付款,粤品质礼品店专卖店,回头客1万,未提供,未提供,,,,,2000
984597978319,服饰鞋包,童装,冬季童装宽松正品,1165.15,江苏,2000+人付款,品质服饰店旗舰店,8年老店,先用后付,未提供,时尚风,丝光棉,,春秋季,2000
329276884490,服饰鞋包,箱包,秋季箱包百搭热销,173.33,江苏,200+人付款,品质服饰店,回头客5万,未提供,未提供,休闲风,,,,200
483883507918,食品生鲜,海鲜,海鲜2025新款,69.35,江西,2000+人付款,品质食品店,回头客5万,先用后付,退货宝,,,,,2000
729088333456,服饰鞋包,配饰,配饰宽松2025新款,197.98,甘肃,5000+人付款,品质服饰店专卖店,金牌卖家,未提供,未提供,休闲风,羊毛,宽松型,春季,5000
420202238043,数码家电,家电,家电高品质办公,2206.23,福建,2000+人付款,优品数码店旗舰店,8年老店,未提供,未提供,,,,,2000
999707958273,服饰鞋包,箱包,秋季箱包宽松2025新款,622.54,云南,200+人付款,品质服饰店专卖店,回头客10万,未提供,退货宝,时尚风,,宽松型,夏季,200
176055524295,汽车用品,保养,保养官方正品,40.36,上海,1万+人付款,诚信汽车店,回头客5万,未提供,未提供,,,,,10000
325433215775,玩具乐器,乐器,乐器2025新款,477.8,河南,20万+人付款,豫诚信玩具店,8年老店,未提供,未提供,,,,,200000
836670944234,运动户外,户外装备,秋季户外装备宽松热销,1503.82,北京,2000+人付款,时尚运动店旗舰店,金牌卖家,未提供,未提供,,,修身型,,2000
720775285114,图书音像,少儿,少儿高品质,42.68,广东,1000+人付款,诚信图书店,8年老店,未提供,未提供,,,,,1000
397712668669,数码家电,家电,家电高品质办公,3334.8,湖南,1000+人付款,优品数码店,正品保障,未提供,未提供,,,,,1000
296304944992,家居生活,装饰,装饰2025新款办公,1819.49,山东,500+人付款,鲁诚信家居店专卖店,极速发货,先用后付,未提供,,,,,500
301742837381,家居生活,装饰,装饰高品质办公,550.78,广东,1000+人付款,粤诚信家居店,正品保障,未提供,未提供,,,,,1000
118272220522,农资园艺,花卉,花卉官方正品,726.26,陕西,500+人付款,品质农资店,,未提供,未提供,,,,,500
371794145987,数码家电,手机,手机2025新款家用,3484.45,四川,5000+人付款,品质数码店专卖店,皇冠店铺,未提供,未提供,,,,,5000
541726426440,食品生鲜,肉类,肉类2025新款,50.01,江苏,5万+人付款,优品食品店专卖店,皇冠店铺,未提供,未提供,,,,,50000
691923981020,美妆护肤,香水,香水高品质,353.61,河南,500+人付款,优品美妆店,皇冠店铺,未提供,未提供,,,,,500
847830841600,家居生活,家纺,家纺高品质办公,2588.05,上海,5000+人付款,优品家居店,8年老店,未提供,未提供,,,,,5000
538637859667,医药健康,计生用品,计生用品2025新款,257.9,湖南,1万+人付款,优品医药店,正品保障,未提供,未提供,,,,,10000
996348273111,运动户外,运动服,运动服宽松2025新款,162.32,山东,1万+人付款,鲁时尚运动店,5年老店,未提供,未提供,休闲风,,修身型,春季,10000
977777582531,食品生鲜,水果,水果高品质,464.4,河南,5000+人付款,时尚食品店旗舰店,极速发货,未提供,退货宝,,,,,5000
516505607976,农资园艺,肥料,肥料2025新款,230.47,湖北,200+人付款,诚信农资店,回头客3千,未提供,退货宝,,,,,200
999552668278,玩具乐器,儿童玩具,儿童玩具官方正品,1293.62,云南,2000+人付款,优品玩具店,8年老店,未提供,未提供,,,,,2000
487491473389,玩具乐器,益智玩具,益智玩具高品质,1467.87,山东,2万+人付款,优品玩具店旗舰店,,未提供,未提供,,,,,20000
857978492440,汽车用品,清洁,清洁高品质,715.53,湖北,5000+人付款,鄂诚信汽车店专卖店,回头客1万,先用后付,未提供,,,,,5000
129245687508,服饰鞋包,箱包,冬季箱包百搭2025新款,724.72,陕西,2000+人付款,时尚服饰店,5年老店,未提供,未提供,时尚风,莫代尔,修身型,秋季,2000
484789997242,美妆护肤,身体护理,身体护理官方正品,226.97,广东,2000+人付款,优品美妆店,回头客1万,未提供,未提供,,,,,2000
219332031126,钟表珠宝,耳环,耳环官方正品,2312.7,陕西,5000+人付款,陕诚信钟表店,正品保障,未提供,退货宝,,,,,5000
668926317012,宠物用品,用品,用品宽松2025新款,56.02,福建,1万+人付款,时尚宠物店,,未提供,未提供,时尚风,,,,10000
551399435231,家居生活,收纳,收纳2025新款办公,862.26,上海,500+人付款,品质家居店,8年老店,未提供,未提供,,,,,500
887998693590,礼品鲜花,永生花,永生花高品质,692.41,青海,2000+人付款,时尚礼品店专卖店,回头客10万,未提供,未提供,,,,,2000
560980449595,服饰鞋包,童装,冬季童装百搭正品,51.36,西藏,2000+人付款,品质服饰店专卖店,,先用后付,未提供,通勤风,羊毛,宽松型,秋季,2000
236058093527,服饰鞋包,箱包,冬季箱包百搭2025新款,790.67,湖南,200+人付款,品质服饰店,回头客5万,未提供,退货宝,休闲风,莫代尔,,春秋季,200
655990758735,农资园艺,肥料,肥料2025新款,221.68,山东,1万+人付款,鲁时尚农资店,回头客10万,未提供,未提供,,,,,10000
443088283281,母婴用品,童装,冬季童装宽松热销,702.25,青海,2000+人付款,品质母婴店旗舰店,回头客3千,先用后付,未提供,时尚风,丝光棉,,春季,2000
893983848176,钟表珠宝,戒指,戒指2025新款,61.94,海南,500+人付款,优品钟表店,极速发货,未提供,未提供,,,,,500
632043217558,母婴用品,玩具,春季玩具百搭2025新款,949.78,江苏,2万+人付款,时尚母婴店专卖店,回头客5万,未提供,退货宝,,聚酯纤维,,,20000
874875637769,食品生鲜,粮油,粮油高品质,52.9,广东,1000+人付款,优品食品店旗舰店,8年老店,未提供,未提供,,,,,1000
988274453613,美妆护肤,身体护理,身体护理2025新款,811.73,北京,1000+人付款,诚信美妆店,,未提供,未提供,,,,,1000
703872342947,医药健康,医疗器械,医疗器械官方正品,137.46,四川,50万+人付款,品质医药店,极速发货,未提供,退货宝,,,,,500000
507959544153,农资园艺,肥料,肥料2025新款,360.89,上海,1000+人付款,时尚农资店,回头客10万,未提供,未提供,,,,,1000
614118620282,礼品鲜花,礼品,礼品官方正品,1625.66,河北,1000+人付款,诚信礼品店,5年老店,未提供,未提供,,,,,1000
792702811965,玩具乐器,手办,手办高品质,1778.26,台湾,1000+人付款,时尚玩具店,金牌卖家,未提供,未提供,,,,,1000
473582631990,美妆护肤,彩妆,彩妆官方正品,606.3,吉林,2000+人付款,优品美妆店,金牌卖家,未提供,未提供,,,,,2000
277594795084,母婴用品,童装,童装修身正品,1074.04,山东,2万+人付款,时尚母婴店,极速发货,未提供,退货宝,,,,春秋季,20000
171991812612,礼品鲜花,永生花,永生花2025新款,567.51,广西,2000+人付款,桂时尚礼品店,皇冠店铺,未提供,未提供,,,,,2000
949500366231,美妆护肤,面部护理,面部护理高品质,72.32,内蒙古,10万+人付款,优品美妆店专卖店,金牌卖家,未提供,未提供,,,,,100000
910895125826,玩具乐器,乐器,乐器2025新款,1323.15,河南,2万+人付款,优品玩具店专卖店,8年老店,未提供,未提供,,,,,20000
966776187316,宠物用品,用品,冬季用品百搭2025新款,118.01,江苏,1000+人付款,苏诚信宠物店旗舰店,,未提供,未提供,,,,秋季,1000
848219281510,宠物用品,食品,秋季食品宽松热销,335.43,浙江,1万+人付款,浙时尚宠物店,金牌卖家,未提供,未提供,时尚风,,,,10000
184870272938,钟表珠宝,耳环,耳环官方正品,3383.14,广西,2000+人付款,桂优品钟表店,回头客5万,未提供,未提供,,,,,2000
116655381708,宠物用品,服饰,服饰宽松热销,198.5,青海,2000+人付款,品质宠物店,回头客1万,未提供,未提供,休闲风,,,冬季,2000
815744312357,农资园艺,农具,农具2025新款,488.83,上海,500+人付款,沪品质农资店旗舰店,8年老店,未提供,未提供,,,,,500
323595691830,运动户外,户外装备,夏季户外装备宽松正品,991.76,云南,500+人付款,滇诚信运动店专卖店,回头客10万,未提供,未提供,时尚风,,宽松型,春季,500
596502354176,宠物用品,服饰,秋季服饰百搭2025新款,252.03,江西,20万+人付款,优品宠物店旗舰店,正品保障,未提供,未提供,通勤风,,,,200000
229376254535,食品生鲜,零食,零食高品质,211.0,重庆,200+人付款,渝优品食品店专卖店,金牌卖家,未提供,未提供,,,,,200
258847531418,家居生活,家具,家具高品质办公,2701.77,新疆,500+人付款,时尚家居店,正品保障,未提供,退货宝,,,,,500
824055729949,美妆护肤,香水,香水高品质,291.19,山东,2000+人付款,时尚美妆店,,未提供,未提供,,,,,2000
827735043695,汽车用品,保养,保养高品质,172.16,甘肃,200+人付款,品质汽车店,回头客10万,未提供,未提供,,,,,200
424604155725,汽车用品,清洁,清洁官方正品,121.18,上海,500+人付款,品质汽车店旗舰店,回头客10万,先用后付,未提供,,,,,500
421736818303,美妆护肤,身体护理,身体护理高品质,530.11,广东,5000+人付款,品质美妆店,皇冠店铺,未提供,未提供,,,,,5000
826032248898,汽车用品,清洁,清洁高品质,79.24,北京,10万+人付款,诚信汽车店旗舰店,正品保障,未提供,未提供,,,,,100000
654605891852,图书音像,教材,教材2025新款,242.47,台湾,1000+人付款,诚信图书店专卖店,皇冠店铺,先用后付,未提供,,,,,1000
516137483612,美妆护肤,面部护理,面部护理高品质,259.82,广东,2万+人付款,品质美妆店,,未提供,退货宝,,,,,20000
446370232022,宠物用品,服饰,春季服饰宽松2025新款,273.64,广西,1000+人付款,品质宠物店,皇冠店铺,未提供,未提供,时尚风,,,夏季,1000
543102450749,运动户外,户外装备,户外装备百搭2025新款,596.13,广东,10万+人付款,时尚运动店,5年老店,未提供,未提供,,,标准型,冬季,100000
419873598809,钟表珠宝,戒指,戒指2025新款,3145.26,湖北,500+人付款,优品钟表店,正品保障,未提供,未提供,,,,,500
382331662097,数码家电,电脑,电脑官方正品户外,5530.45,河北,5000+人付款,冀优品数码店,回头客3千,未提供,未提供,,,,,5000
431925721541,钟表珠宝,手链,手链高品质,76.37,四川,5000+人付款,优品钟表店专卖店,回头客10万,未提供,未提供,,,,,5000
804183621295,食品生鲜,肉类,肉类2025新款,313.86,湖南,200+人付款,诚信食品店,回头客5万,先用后付,未提供,,,,,200
467989890802,运动户外,户外装备,户外装备宽松2025新款,522.89,浙江,2000+人付款,浙优品运动店,回头客5万,未提供,未提供,时尚风,,标准型,秋季,2000
101675537918,汽车用品,清洁,清洁官方正品,782.48,安徽,1000+人付款,诚信汽车店专卖店,,未提供,未提供,,,,,1000
201969833949,宠物用品,护理,冬季护理百搭正品,73.7,湖南,2000+人付款,湘诚信宠物店旗舰店,5年老店,未提供,未提供,时尚风,,,春秋季,2000
908903664656,礼品鲜花,礼品,礼品2025新款,1630.17,广东,1万+人付款,优品礼品店,皇冠店铺,未提供,未提供,,,,,10000
245400179360,礼品鲜花,永生花,永生花2025新款,769.07,湖南,2000+人付款,诚信礼品店,皇冠店铺,先用后付,退货宝,,,,,2000
418907513970,美妆护肤,彩妆,彩妆官方正品,423.4,江西,1000+人付款,时尚美妆店,回头客5万,未提供,未提供,,,,,1000
693870396754,数码家电,家电,家电高品质办公,2095.31,山东,1万+人付款,鲁诚信数码店专卖店,5年老店,未提供,未提供,,,,,10000
287341038589,宠物用品,玩具,春季玩具修身正品,188.72,广西,5万+人付款,桂时尚宠物店旗舰店,极速发货,未提供,未提供,休闲风,,,,50000
132540478264,宠物用品,食品,食品百搭2025新款,343.61,浙江,2000+人付款,品质宠物店专卖店,回头客3千,先用后付,未提供,通勤风,,,,2000
978876796013,钟表珠宝,耳环,耳环高品质,3739.69,广东,2000+人付款,优品钟表店,金牌卖家,未提供,未提供,,,,,2000
111645009617,玩具乐器,模型,模型2025新款,2024.78,河南,100+人付款,时尚玩具店旗舰店,回头客10万,未提供,未提供,,,,,100
914704595343,服饰鞋包,箱包,秋季箱包百搭热销,430.45,山东,5000+人付款,优品服饰店专卖店,回头客1万,未提供,未提供,通勤风,,标准型,春秋季,5000
353099317340,农资园艺,农具,农具2025新款,480.1,广西,500+人付款,桂时尚农资店旗舰店,正品保障,未提供,未提供,,,,,500
280054074064,农资园艺,花卉,花卉2025新款,888.89,台湾,1000+人付款,台品质农资店,极速发货,未提供,未提供,,,,,1000
525946446060,图书音像,经管,经管官方正品,248.63,上海,2000+人付款,沪诚信图书店,回头客3千,未提供,未提供,,,,,2000
789193011019,运动户外,户外装备,户外装备宽松正品,705.97,贵州,5000+人付款,时尚运动店旗舰店,8年老店,未提供,未提供,,,标准型,,5000
908519238845,美妆护肤,彩妆,彩妆官方正品,142.87,浙江,500+人付款,浙诚信美妆店旗舰店,正品保障,未提供,未提供,,,,,500
645408867343,数码家电,手机,手机官方正品户外,3362.74,广东,500+人付款,诚信数码店旗舰店,回头客10万,未提供,未提供,,,,,500
627959303149,钟表珠宝,项链,项链2025新款,1235.64,四川,1000+人付款,优品钟表店,回头客10万,先用后付,未提供,,,,,1000
917009853974,玩具乐器,儿童玩具,儿童玩具高品质,1243.04,湖北,200+人付款,优品玩具店旗舰店,皇冠店铺,未提供,未提供,,,,,200
506514036799,医药健康,保健品,保健品2025新款,883.64,河南,2万+人付款,豫诚信医药店,8年老店,未提供,未提供,,,,,20000
671671189512,运动户外,健身器材,健身器材百搭正品,1544.56,云南,200+人付款,滇品质运动店旗舰店,回头客3千,未提供,未提供,休闲风,,宽松型,,200
348861840074,美妆护肤,面部护理,面部护理官方正品,564.06,山东,200+人付款,鲁时尚美妆店,极速发货,未提供,未提供,,,,,200
147465913741,汽车用品,保养,保养官方正品,1084.86,台湾,1万+人付款,优品汽车店,回头客5万,未提供,未提供,,,,,10000
836507762162,食品生鲜,肉类,肉类官方正品,380.3,陕西,200+人付款,优品食品店旗舰店,回头客10万,先用后付,未提供,,,,,200
252648986218,食品生鲜,海鲜,海鲜2025新款,64.49,内蒙古,500+人付款,优品食品店,回头客5万,未提供,未提供,,,,,500
357389997757,美妆护肤,面部护理,面部护理高品质,294.84,安徽,2000+人付款,诚信美妆店,8年老店,未提供,未提供,,,,,2000
736342279226,家居生活,家纺,家纺官方正品家用,2567.96,江苏,100+人付款,品质家居店,5年老店,未提供,未提供,,,,,100
391828625978,服饰鞋包,箱包,箱包百搭热销,1054.09,浙江,100+人付款,浙时尚服饰店旗舰店,极速发货,未提供,未提供,通勤风,纯棉,宽松型,,100
689846747147,家居生活,家纺,家纺官方正品家用,2982.38,福建,1000+人付款,诚信家居店,回头客3千,未提供,未提供,,,,,1000
510690442500,玩具乐器,儿童玩具,儿童玩具2025新款,1786.88,河北,1000+人付款,品质玩具店,回头客1万,未提供,未提供,,,,,1000
453982834320,礼品鲜花,鲜花,鲜花官方正品,363.88,广东,2000+人付款,诚信礼品店,正品保障,未提供,未提供,,,,,2000
745914270437,玩具乐器,乐器,乐器高品质,345.8,安徽,1000+人付款,皖时尚玩具店,5年老店,未提供,未提供,,,,,1000
374527221379,服饰鞋包,配饰,配饰宽松正品,315.79,四川,500+人付款,川品质服饰店,回头客1万,未提供,未提供,休闲风,纯棉,宽松型,春秋季,500
884192793586,食品生鲜,肉类,肉类高品质,228.12,内蒙古,1000+人付款,蒙时尚食品店,回头客5万,未提供,未提供,,,,,1000
481653695446,食品生鲜,海鲜,海鲜官方正品,199.23,广西,200+人付款,品质食品店,皇冠店铺,未提供,未提供,,,,,200
416404488924,服饰鞋包,男装,男装修身正品,795.4,四川,200+人付款,诚信服饰店专卖店,极速发货,未提供,未提供,休闲风,丝光棉,修身型,,200
500751256111,宠物用品,食品,食品宽松2025新款,85.35,江苏,1000+人付款,诚信宠物店旗舰店,皇冠店铺,未提供,未提供,休闲风,,,冬季,1000
165316139375,运动户外,户外装备,冬季户外装备修身热销,1334.36,湖北,2000+人付款,品质运动店,5年老店,未提供,未提供,时尚风,,宽松型,冬季,2000
717574813804,钟表珠宝,项链,项链高品质,3142.97,湖北,1万+人付款,时尚钟表店专卖店,回头客1万,未提供,未提供,,,,,10000
312469123675,图书音像,经管,经管2025新款,253.44,安徽,10万+人付款,品质图书店,金牌卖家,未提供,未提供,,,,,100000
718005335310,服饰鞋包,女装,冬季女装修身2025新款,1104.93,江苏,200+人付款,苏诚信服饰店专卖店,回头客1万,先用后付,未提供,,丝光棉,标准型,,200
571389781778,礼品鲜花,鲜花,鲜花2025新款,1928.12,云南,200+人付款,时尚礼品店,回头客5万,未提供,未提供,,,,,200
435049857105,玩具乐器,手办,手办2025新款,1714.31,江苏,20万+人付款,诚信玩具店旗舰店,,未提供,未提供,,,,,200000
799404439572,母婴用品,辅食,辅食宽松正品,853.66,湖北,5000+人付款,时尚母婴店,回头客3千,未提供,未提供,通勤风,丝光棉,,,5000
565928571730,服饰鞋包,鞋靴,鞋靴宽松热销,60.6,云南,500+人付款,优品服饰店,,未提供,未提供,休闲风,聚酯纤维,,,500
778338015422,图书音像,少儿,少儿官方正品,225.63,广东,5万+人付款,粤时尚图书店旗舰店,,未提供,未提供,,,,,50000
263888721842,美妆护肤,香水,香水2025新款,684.64,黑龙江,200+人付款,优品美妆店,,未提供,未提供,,,,,200
906448114927,美妆护肤,彩妆,彩妆高品质,555.35,广东,2000+人付款,诚信美妆店,5年老店,未提供,未提供,,,,,2000
367110452103,医药健康,计生用品,计生用品高品质,1560.21,河北,100+人付款,优品医药店专卖店,极速发货,未提供,未提供,,,,,100
112715866445,母婴用品,纸尿裤,春季纸尿裤宽松热销,211.75,台湾,1万+人付款,品质母婴店,回头客5万,未提供,未提供,通勤风,,,,10000
853650902178,宠物用品,玩具,玩具修身热销,193.14,山东,2万+人付款,优品宠物店专卖店,金牌卖家,未提供,未提供,通勤风,,,夏季,20000
644347496187,美妆护肤,面部护理,面部护理高品质,352.63,北京,500+人付款,优品美妆店,回头客10万,先用后付,未提供,,,,,500
400093524549,美妆护肤,面部护理,面部护理高品质,208.56,广东,5000+人付款,时尚美妆店,回头客5万,未提供,未提供,,,,,5000
142533071295,家居生活,装饰,装饰2025新款办公,2502.41,天津,500+人付款,品质家居店专卖店,5年老店,未提供,未提供,,,,,500
300842716537,服饰鞋包,男装,男装宽松正品,989.73,河南,500+人付款,品质服饰店,5年老店,未提供,未提供,时尚风,纯棉,,秋季,500
722667117485,农资园艺,农具,农具2025新款,753.92,浙江,1000+人付款,时尚农资店,5年老店,未提供,未提供,,,,,1000
666624982004,食品生鲜,粮油,粮油2025新款,277.37,上海,5000+人付款,时尚食品店,5年老店,未提供,未提供,,,,,5000
354955946455,图书音像,经管,经管官方正品,123.07,广东,200+人付款,时尚图书店专卖店,回头客1万,未提供,退货宝,,,,,200
720033966076,服饰鞋包,配饰,配饰宽松热销,386.58,湖北,500+人付款,鄂优品服饰店,5年老店,未提供,未提供,休闲风,,,,500
597211646222,家居生活,家纺,家纺高品质办公,2838.46,山东,1万+人付款,优品家居店,5年老店,先用后付,未提供,,,,,10000
105467780283,汽车用品,安全,安全官方正品,250.67,福建,200+人付款,闽品质汽车店,回头客3千,未提供,未提供,,,,,200
627324292993,母婴用品,玩具,冬季玩具百搭2025新款,701.92,吉林,1万+人付款,品质母婴店,回头客5万,未提供,未提供,时尚风,丝光棉,,夏季,10000
339824996617,母婴用品,玩具,玩具百搭热销,845.28,上海,5000+人付款,优品母婴店旗舰店,极速发货,先用后付,未提供,时尚风,,,秋季,5000
278740906268,家居生活,家具,家具高品质户外,2410.75,湖北,5000+人付款,时尚家居店,回头客5万,先用后付,未提供,,,,,5000
621225152361,家居生活,收纳,收纳2025新款办公,1647.63,湖南,5000+人付款,湘诚信家居店,回头客3千,未提供,未提供,,,,,5000
480110503038,钟表珠宝,戒指,戒指官方正品,933.15,安徽,2000+人付款,优品钟表店专卖店,正品保障,未提供,未提供,,,,,2000
597518445382,运动户外,运动服,春季运动服百搭2025新款,820.39,上海,500+人付款,时尚运动店,5年老店,未提供,退货宝,休闲风,,标准型,春季,500
139358488542,母婴用品,童装,秋季童装修身热销,325.66,江苏,5000+人付款,时尚母婴店旗舰店,回头客3千,未提供,未提供,,莫代尔,,春季,5000
532290786275,家居生活,装饰,装饰官方正品户外,680.8,湖北,5000+人付款,品质家居店专卖店,回头客3千,未提供,退货宝,,,,,5000
460921587336,母婴用品,辅食,辅食宽松正品,1276.63,福建,500+人付款,闽品质母婴店专卖店,皇冠店铺,未提供,未提供,休闲风,羊毛,,春秋季,500
616916006451,美妆护肤,美发,美发官方正品,817.16,广东,500+人付款,粤诚信美妆店专卖店,回头客10万,未提供,退货宝,,,,,500
347534603023,玩具乐器,手办,手办高品质,34.03,广东,10万+人付款,时尚玩具店旗舰店,正品保障,未提供,未提供,,,,,100000
512359985130,宠物用品,玩具,夏季玩具百搭2025新款,166.18,广西,1万+人付款,品质宠物店专卖店,皇冠店铺,未提供,未提供,时尚风,,,春秋季,10000
407906267767,运动户外,健身器材,健身器材百搭2025新款,773.96,安徽,200+人付款,诚信运动店旗舰店,,未提供,未提供,,,标准型,夏季,200
972696173838,母婴用品,纸尿裤,夏季纸尿裤宽松2025新款,744.66,北京,500+人付款,京诚信母婴店旗舰店,极速发货,先用后付,未提供,休闲风,,,春季,500
257994933502,礼品鲜花,定制礼品,定制礼品高品质,42.19,广东,2000+人付款,时尚礼品店旗舰店,回头客5万,未提供,退货宝,,,,,2000
648777385537,数码家电,相机,相机2025新款家用,5373.02,山西,2000+人付款,诚信数码店旗舰店,8年老店,未提供,未提供,,,,,2000
152787919389,钟表珠宝,手表,手表高品质,2052.77,贵州,5000+人付款,黔优品钟表店专卖店,回头客3千,先用后付,未提供,,,,,5000
299239048831,玩具乐器,益智玩具,益智玩具高品质,2256.62,河北,500+人付款,诚信玩具店,极速发货,未提供,未提供,,,,,500
723162612831,汽车用品,保养,保养高品质,519.82,天津,500+人付款,优品汽车店专卖店,回头客3千,未提供,未提供,,,,,500
454029560635,美妆护肤,美发,美发2025新款,742.37,重庆,500+人付款,诚信美妆店旗舰店,极速发货,未提供,未提供,,,,,500
716786401200,玩具乐器,手办,手办官方正品,1406.78,山东,500+人付款,鲁时尚玩具店旗舰店,5年老店,未提供,未提供,,,,,500
977307210139,农资园艺,肥料,肥料官方正品,181.9,辽宁,50万+人付款,优品农资店,,未提供,退货宝,,,,,500000
168408910305,美妆护肤,美发,美发高品质,474.09,上海,1000+人付款,沪品质美妆店旗舰店,皇冠店铺,未提供,退货宝,,,,,1000
610328799284,运动户外,运动鞋,运动鞋宽松2025新款,1086.19,贵州,1万+人付款,品质运动店专卖店,8年老店,先用后付,未提供,休闲风,,,冬季,10000
553875096627,汽车用品,电子,电子高品质,611.73,北京,100+人付款,时尚汽车店专卖店,,未提供,未提供,,,,,100
723120688234,美妆护肤,美发,美发高品质,296.27,上海,5000+人付款,沪诚信美妆店,皇冠店铺,未提供,未提供,,,,,5000
467701817999,服饰鞋包,配饰,配饰百搭热销,174.37,河南,2000+人付款,时尚服饰店专卖店,5年老店,未提供,未提供,,,,春季,2000
639445036272,钟表珠宝,手链,手链高品质,1315.01,陕西,1000+人付款,陕诚信钟表店,,未提供,未提供,,,,,1000
496118891431,服饰鞋包,鞋靴,秋季鞋靴修身正品,80.52,福建,2000+人付款,闽诚信服饰店专卖店,回头客1万,未提供,未提供,,羊毛,,秋季,2000
764519156715,玩具乐器,模型,模型高品质,1638.51,福建,10万+人付款,时尚玩具店,5年老店,未提供,退货宝,,,,,100000
639331396818,宠物用品,食品,食品宽松2025新款,318.69,江西,1000+人付款,优品宠物店,回头客3千,未提供,未提供,休闲风,,,秋季,1000
